,latitude,longitude,Blue,Orange,Silver,Red,green,Yellow
Addison Road,38.8867225,-76.8944056,1,0,1,0,0,0
Anacostia,38.8654418,-76.9842531,0,0,0,0,1,0
Archives-Navy Memorial,38.8936824,-77.0219151,0,0,0,0,1,1
Arlington Cemetery,38.8846187,-77.0630855,1,0,0,0,0,0
Ballston-MU,38.8820057,-77.1115141,0,1,1,0,0,0
Benning Road,38.8904471,-76.9375326,1,0,1,0,0,0
Bethesda,38.98127255,-77.12335871,0,0,0,1,0,0
Braddock Road,38.814146,-77.0536699,1,0,0,0,0,1
Branch Ave,38.8268521,-76.9120843,0,0,0,0,1,0
Brookland-CUA,38.933211,-76.9945344,0,0,0,1,0,0
Capitol Heights,38.8849913,-76.9134765,1,0,1,0,0,0
Capitol South,38.8851435,-77.0060652,1,1,1,0,0,0
Cheverly,38.928167,-76.915807,0,1,0,0,0,0
Clarendon,34.9359346,-100.8905829,0,1,1,0,0,0
Cleveland Park,38.9355163,-77.0584432,0,0,0,1,0,0
College Park-U of MD,41.8225666,-71.4034147,0,0,0,0,1,1
Columbia Heights,45.0460458,-93.2517802,0,0,0,0,1,1
Congress Heights,38.8428968,-77.0002546,0,0,0,0,1,0
Court House,38.8907825,-77.0856426,0,1,1,0,0,0
Crystal City,28.6834097,-99.8274585,1,0,0,0,0,1
Deanwood,38.8998381,-76.9301144,0,1,0,0,0,0
Dunn Loring-Merrifield,38.8833529,-77.22812,0,1,0,0,0,0
Dupont Circle,38.9109436,-77.0427259,0,0,0,1,0,0
East Falls Church,38.8859763,-77.1568243,0,1,1,0,0,0
Eastern Market,38.8842486,-76.995823,1,1,1,0,0,0
Eisenhower Avenue,38.8003449,-77.071133,0,0,0,0,0,1
Farragut North,38.9032961,-77.0397342,0,0,0,1,0,0
Farragut West,38.9013497,-77.0404456,1,1,1,0,0,0
Federal Center SW,38.8851184,-77.0150823,1,1,1,0,0,0
Federal Triangle,38.8934583,-77.0280297,1,1,1,0,0,0
Foggy Bottom-GWU,38.9008731,-77.05035,1,1,1,0,0,0
Forest Glen,39.01981945,-77.04649366,0,0,0,1,0,0
Fort Totten,38.9517337,-77.0026753,0,0,0,1,1,1
Franconia-Springfield,38.7659146,-77.1686097,1,0,0,0,0,0
Friendship Heights,38.95728095,-77.08538455,0,0,0,1,0,0
Gallery Pl-Chinatown,38.8987958,-77.0219097,0,0,0,1,1,1
Georgia Ave-Petworth,38.9369372,-77.0241656,0,0,0,0,1,1
Glenmont,45.1868633,-64.4937559,0,0,0,1,0,0
Greenbelt,39.004607,-76.8756838,0,0,0,0,1,1
Greensboro,36.0726355,-79.7919754,0,0,1,0,0,0
Grosvenor-Strathmore,39.0290818,-77.1038103,0,0,0,1,0,0
Huntington,38.4192496,-82.445154,0,0,0,0,0,1
Judiciary Square,38.8960859,-77.0166814,0,0,0,1,0,0
King St-Old Town,38.8065306,-77.0610459,1,0,0,0,0,1
L'Enfant Plaza,38.8849108,-77.0225831,1,1,1,0,1,1
Landover,38.92531295,-76.8815433,0,1,0,0,0,0
Largo Town Center,38.9004838,-76.8446482,1,0,1,0,0,0
McLean,40.4631789,-88.8196613,0,0,1,0,0,0
McPherson Square,38.9013627,-77.0320064,1,1,1,0,0,0
Medical Center,38.9988498,-77.0968366,0,0,0,1,0,0
Metro Center,38.8983395,-77.0286189,1,1,1,1,0,0
Minnesota Ave,46.772906,-92.0899412,0,1,0,0,0,0
Morgan Boulevard,38.893744,-76.8683427,1,0,1,0,0,0
Mt Vernon Sq 7th St-Convention Center,38.9055282,-77.0219332,0,0,0,0,1,1
Navy-Yard-Ballpark,38.8764746,-77.0059207,0,0,0,0,1,0
Naylor Road,38.851128,-76.9566758,0,0,0,0,1,0
New Carrollton,38.9698329,-76.8799727,0,1,0,0,0,0
NoMa-Gallaudet U,38.9062102,-77.0035257,0,0,0,1,0,0
Pentagon,38.87089205,-77.05470223,1,0,0,0,0,1
Pentagon City,38.8630421,-77.059427,1,0,0,0,0,1
Potomac Ave,38.8812969,-76.9851996,1,1,1,0,0,0
Prince George's Plaza,38.9653369,-76.9566821,0,0,0,0,1,1
Rhode Island Ave-Brentwood,38.9208202,-76.9959733,0,0,0,1,0,0
Rockville,39.0817985,-77.1516844,0,0,0,1,0,0
Ronald Reagan Washington National Airport,38.85128945,-77.03968894,1,0,0,0,0,1
Rosslyn,38.8959791,-77.0709087,1,1,1,0,0,0
Shady Grove,39.1199123,-77.1646588,0,0,0,1,0,0
Shaw-Howard U,38.9142227,-77.0216663,0,0,0,0,1,1
Silver Spring,38.9997621,-77.0240371,0,0,0,1,0,0
Smithsonian,38.8885156,-77.0285572,1,1,1,0,0,0
Southern Avenue,38.8413902,-76.974875,0,0,0,0,1,0
Spring Hill,41.4117626,-93.6479872,0,0,1,0,0,0
Stadium-Armory,38.888334,-76.9770859,1,1,1,0,0,0
Suitland,38.8501338,-76.92567443,0,0,0,0,1,0
Takoma,47.2495798,-122.439874,0,0,0,1,0,0
Tenleytown-AU,38.9480661,-77.0793047,0,0,0,1,0,0
Twinbrook,39.062682,-77.121209,0,0,0,1,0,0
Tysons Corner,38.916509,-77.22579777,0,0,1,0,0,0
U Street/African-Amer Civil War Memorial/Cardozo,,,0,0,0,0,1,1
Union Station,34.0560576,-118.2362521,0,0,0,1,0,0
Van Dorn Street,38.7993077,-77.1291115,1,0,0,0,0,0
Van Ness-UDC,38.9441698,-77.0634765,0,0,0,1,0,0
Vienna/Fairfax-GMU,38.8776013,-77.2722884,0,1,0,0,0,0
Virginia Square-GMU,38.8829435,-77.1033092,0,1,1,0,0,0
Waterfront,49.2855437,-123.1135407,0,0,0,0,1,0
West Falls Church-VT/UVA,38.9007928,-77.1889651,0,1,0,0,0,0
West Hyattsville,38.9552277,-76.96952,0,0,0,0,1,1
Wheaton,41.8646959,-88.1101709,0,0,0,1,0,0
White Flint,39.0461292,-77.1130097,0,0,0,1,0,0
Wiehle-Reston East,38.947749,-77.3400754,0,0,1,0,0,0
Woodley Park-Zoo/Adams Morgan,38.9250248,-77.0523627,0,0,0,1,0,0
